"country.name","years","financial.integration","debt.stock","debt.service.cap"
"Sao Tome and Principe",2019,NA,59.46870409,4.72743809
"Senegal",2019,3003848253.12,52.5400244,14.32776128
"Seychelles",2019,621585265.454,NA,NA
"Sierra Leone",2019,513658565.525,45.68837199,7.656687514
"Somalia",2019,NA,NA,0.005357291
"South Africa",2019,53612106356.8,48.50574739,24.73757598
"South Sudan",2019,NA,NA,NA
"Sudan",2019,1131741213.0844,88.99002261,4.198944981
"Tanzania",2019,NA,32.87856705,12.65196051
"Togo",2019,1094989626.79,32.35754813,6.843382218
"Uganda",2019,2720199462.056,38.67150611,9.314233434
"Zambia",2019,4864865720.33,71.45159568,14.47118199
"Zimbabwe",2019,NA,55.69414429,12.53787335
