series.name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Sao Tome and Principe,STP,..,..,187536255.7,198044441.2,234014884,247866737.6,305513197.8,354638543.5,317236670.8,348498115,373932767.9,424765084.9,424834962.3,..
GNI (current US$),NY.GNP.MKTP.CD,Senegal,SEN,7040304194,5833646798,16078470528,16080764988,17620360630,17523080083,18642733258,19419518456,17383163425,18541836257,20409362882,22635049460,22962881782,..
GNI (current US$),NY.GNP.MKTP.CD,Seychelles,SYC,355431055.5,583245913.4,792026522.4,917765248.2,947918138.8,1000312418,1258976237,1260705661,1294187893,1317488326,1411550058,1511273273,1644781863,..
GNI (current US$),NY.GNP.MKTP.CD,Sierra Leone,SLE,579840580,616098892.2,2664969380,2606465307,2901403971,3924034071,4893437932,4896148549,4162054006,3276983581,3629620900,3798493994,3668435545,..
GNI (current US$),NY.GNP.MKTP.CD,Somalia,SOM,834948072,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,South Africa,ZAF,1.11285E+11,1.33188E+11,2.89309E+11,3.67345E+11,4.05769E+11,3.85573E+11,3.57214E+11,3.41541E+11,3.09749E+11,2.88167E+11,3.39071E+11,3.56649E+11,3.41523E+11,..
GNI (current US$),NY.GNP.MKTP.CD,South Sudan,SSD,..,..,..,..,8550148980,11486155559,17413371593,11954212847,10522800760,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Sudan,SDN,11408647541,11682412726,45862084824,57572862375,54110836861,50742248710,54930290569,63993770559,73131451053,50905732137,43727817863,24192654488,18285707016,..
GNI (current US$),NY.GNP.MKTP.CD,Tanzania,TZA,4072293167,13245876113,28783642242,31436649841,34011365281,39076489001,44974791751,49140049385,46478404058,48664287046,52106608384,56210529471,61577915480,..
GNI (current US$),NY.GNP.MKTP.CD,Togo,TGO,1597942475,1459201759,3346670583,3405968906,4106265216,3879283636,4346910990,4621145737,4321508267,4530584490,4824944320,5375788667,5480673372,..
GNI (current US$),NY.GNP.MKTP.CD,Uganda,UGA,4227398877,6085591049,24627716112,26129414050,27334974340,26625063167,28163624619,31741318754,31635822403,28455385087,30032761102,31846380322,33471286439,..
GNI (current US$),NY.GNP.MKTP.CD,Zambia,ZMB,3005240580,3444564099,14909632548,18902559484,22302537248,25071084452,26896666932,26598689995,20831343300,20307658971,24723431483,26598250246,22766675291,..
GNI (current US$),NY.GNP.MKTP.CD,Zimbabwe,ZWE,8511816600,6328908700,8400638000,10614338700,12101614600,14901273600,17213424500,17643284500,17980769300,18772952300,20079596800,22706648400,19835846600,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Angola,AGO,8.142251934,20.92943765,9.674572896,5.733175785,5.79379615,8.371975068,9.63601615,14.07218107,22.69189548,34.88394641,29.1111071,20.58820788,26.78743724,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Benin,BEN,9.864536892,13.61116922,3.190109791,2.564353393,2.840353751,2.986843953,3.181198562,2.495040239,2.759573554,2.988863786,3.031144255,5.852233874,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Botswana,BWA,4.348678113,2.033678945,1.043671754,1.412406051,1.05501808,0.790380201,2.147077734,0.6642436,3.329397972,1.998896225,2.466072205,2.435739529,3.173296276,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Burkina Faso,BFA,9.352437115,18.95138711,3.831782303,2.490800172,2.328612338,2.11546207,2.426721598,2.774511273,3.897227602,3.546248353,3.464065585,3.030131533,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Burundi,BDI,43.41419466,40.85690479,16.59414773,2.405637023,4.207055728,8.912545344,13.75875399,13.86412811,13.91849425,16.01913683,12.34307898,9.710181706,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cabo Verde,CPV,9.078295135,11.07847963,5.625933755,5.441637548,4.744522317,4.534065227,4.576214245,4.778243649,6.226533977,5.907189689,6.141041604,5.610875183,5.911873926,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cameroon,CMR,20.52414141,20.73092986,7.35924774,3.559765758,4.318053427,3.126775473,3.34544912,6.054746859,7.357072471,14.37591698,10.68948989,14.11332198,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Central African Republic,CAF,13.21289172,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Chad,TCD,4.311264197,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Comoros,COM,2.907973534,..,14.61044568,4.736684981,3.805202715,13.19868157,0.54158842,0.591865638,7.247070799,5.546487638,2.980820512,3.822168419,3.100086839,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Congo, Dem. Rep.",COD,..,..,12.37430715,3.078121384,2.460508994,3.08370369,3.326545694,3.223024732,3.742733147,4.022976795,3.392943493,2.329747441,8.392294713,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Congo, Rep.",COG,34.57225157,1.70455443,2.845399456,1.564830049,1.180735318,1.64914498,4.589968867,4.827428236,7.449824818,6.464209907,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cote d'Ivoire,CIV,35.43789728,22.66120692,8.984041995,5.859822329,5.267436169,5.409385817,7.984152875,7.15812531,6.358645335,12.97309632,17.09661094,12.34869858,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Eritrea,ERI,..,4.286433617,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Eswatini,SWZ,5.393550911,2.233558142,2.664318431,2.38165869,2.833332006,2.371086373,1.864673011,1.677575144,1.714892333,2.230517565,2.234688989,2.260547229,2.76626266,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ethiopia,ETH,38.9830555,13.739388,2.787941029,3.854840302,5.889198759,7.136460863,10.70383695,11.87005853,17.41429248,21.09393365,22.44571259,21.54806406,28.9415243,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Gabon,GAB,6.394358214,9.951427412,6.174974885,4.796655155,3.937558567,4.165744929,12.03374768,6.106458478,8.56898848,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Gambia, The",GMB,22.23422902,..,6.843075523,8.605455161,10.61477945,9.447783943,11.11706596,18.30448038,15.47637503,17.29213542,16.93056353,13.58947079,13.41188534,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ghana,GHA,38.79007674,19.03796898,3.343139214,3.362608925,2.404892291,2.989155097,4.299729754,5.182410867,5.996884588,8.710703854,9.54612518,11.50470122,7.290878843,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guinea,GIN,20.1059103,22.27471958,12.5959747,6.834406839,13.11632882,8.39897131,4.591756482,3.996410604,5.79941492,3.324071887,2.058463935,2.564352277,2.51772936,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guinea-Bissau,GNB,32.28245096,..,7.114813229,12.16844357,2.303858509,4.667295523,1.007588653,2.241177434,1.905738049,3.519728004,2.833335121,3.289964696,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Kenya,KEN,35.41242836,21.01968126,5.140200302,4.403750851,4.314674989,4.803016806,4.905137592,11.52957601,8.466290759,11.20299341,14.64315482,23.55203578,38.19827218,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Lesotho,LSO,4.195703444,7.497560293,2.595960024,2.092169527,2.090853597,2.440427637,2.938821399,3.087026925,3.718425913,3.938243456,3.337418095,3.812351376,4.986483097,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Liberia,LBR,..,..,5.811780845,1.709978613,0.746069405,1.172844095,0.937120231,2.398258698,8.717631483,3.042659068,3.352521487,6.335068297,7.092725615,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Madagascar,MDG,45.87879362,13.93868568,2.560467154,2.85553096,1.834957133,2.52846633,2.288803074,2.820785152,4.48568476,3.658199413,3.21044922,2.720414922,2.520154133,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Malawi,MWI,29.31753184,13.50482607,2.86003642,1.708453077,1.416161157,2.055470021,3.153214225,4.113775788,5.530416165,6.376938296,6.714939802,7.472110554,8.696739281,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mali,MLI,15.33359245,14.12391087,3.099656203,2.454626582,2.391369127,1.758673598,3.115499375,2.986043971,3.27846441,3.538002192,4.093294401,4.827020533,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mauritania,MRT,30.70762791,..,4.772721542,4.941358551,4.037717823,5.185826512,5.785662884,10.86971226,14.15286847,15.02340898,15.72241628,17.40776686,14.0712008,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mozambique,MOZ,26.19020467,14.56357526,17.51936968,24.74408119,18.31974428,9.985039584,10.72570732,15.99815215,15.11541605,14.05899357,9.392727838,10.40330521,16.41888793,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Niger,NER,17.84210834,7.940910281,3.149776133,1.92561005,2.287032658,2.476416475,4.079388268,6.184381023,6.194577067,8.31345419,8.538812489,7.845107325,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Nigeria,NGA,22.59634628,8.756115605,1.276239984,1.501719979,0.508212746,1.344198652,0.49417488,5.273098087,3.206106378,6.278280316,6.732663895,7.88285759,7.093813629,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Rwanda,RWA,14.25768905,25.72930957,6.559044173,7.417601305,4.848705481,7.630660208,8.426651281,12.75547816,12.46284704,14.44678494,12.06418941,12.58835848,7.367473207,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Sao Tome and Principe,STP,34.85386978,25.84903736,9.883970939,6.300508885,5.337292599,33.43659861,10.95817097,13.86548873,2.856739242,2.554365593,4.057949574,4.72743809,11.59896837,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Senegal,SEN,21.09091145,16.17857216,5.983622194,8.906609588,8.899362295,7.67849576,8.888228207,7.82939832,8.769875648,9.048789798,13.38518712,14.32776128,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Sierra Leone,SLE,10.11749944,76.35290761,2.093235521,2.722938608,3.408415493,1.668086255,1.548061415,2.326563056,6.573434664,3.975853043,7.572290607,7.656687514,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,0.004946378,0.003270613,0.005357291,0.054234299,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,South Africa,ZAF,..,10.18188659,6.03629721,5.622160727,4.874545062,8.365561069,10.99691303,7.204563749,20.75757556,14.6377064,13.44989554,24.73757598,14.82674939,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Sudan,SDN,9.710886156,13.47285264,5.726892357,4.21004682,4.871864112,7.129093239,4.908557485,4.310418073,10.65049262,6.336915253,4.017199606,4.198944981,4.922198802,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Tanzania,TZA,32.8937819,11.93268502,3.086361431,2.928054427,1.882550718,1.821886849,2.759723471,3.072782417,3.994908311,7.953154733,8.364210207,12.65196051,14.70677542,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Togo,TGO,12.31176064,6.607944187,4.238726127,2.609053989,0.729282184,1.160901924,2.291876169,2.877539054,3.29609468,4.896088106,5.02191935,6.843382218,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Uganda,UGA,81.36013892,10.56349608,2.113588413,1.79956927,1.4743527,1.357913467,1.780958901,4.183260172,1.991111013,17.37407916,3.654995719,9.314233434,4.852936751,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Zambia,ZMB,14.7332702,21.24305676,3.473500407,1.858137964,2.334389022,2.190903187,2.750319048,3.597497318,6.626470959,9.90311771,9.155761654,14.47118199,31.26626585,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Zimbabwe,ZWE,23.2479901,..,6.082676865,10.59650258,22.66517727,15.96671692,13.33938574,12.07321421,15.87499835,28.92604119,14.46675583,12.53787335,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Angola,AGO,..,8187952997,41310593206,51572818661,67822745138,71632934596,69376269462,65126113465,34572954934,28440561887,35420915617,41388899133,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Benin,BEN,375946872.3,723503459,1932930440,2199999216,2229520361,2662421231,3451240834,4175439095,2815204774,3263416681,3455561315,3889961780,4264042972,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Botswana,BWA,2086912120,3000196009,3573059776,5579516015,7668392267,7102151173,9167947445,9501309032,7183700267,8223892782,6904816669,7528333333,6160144665,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burkina Faso,BFA,340110196.1,261515857.4,1297930095,2074074147,3164494170,3340989789,3640311464,3755133897,3089098203,3325889004,3729527654,4511341002,4366363961,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burundi,BDI,89130244.37,55005758.53,117576041,197117152.2,196752242.7,226330906.4,223097905.3,205732033.5,177973982.2,196892749.3,236167733.2,285503118.5,275062068.7,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cabo Verde,CPV,52576490.8,145630289.3,531989156.8,543735621.9,662759015.6,704245132.6,749300524.2,750676237,717082167.8,735539143.4,812736072.8,968366816,1008054464,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cameroon,CMR,2250713452,2612567707,5568685496,5802300067,7617662949,7601120582,8273049826,8725705929,6884615105,6280435082,6506092154,7473267002,6417658996,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Central African Republic,CAF,245892968.9,186303954.2,202648827.4,249093411.1,320054001.2,289922972.3,253274147.2,315975075.2,289437776.7,270502000,357682947.6,419401328.5,414205622.7,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Chad,TCD,234367649.9,233937659.2,3251521900,3930727091,4732260048,4757484165,4347930831,4762356368,3285310490,2655214531,3387430129,4067531256,4157368099,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Comoros,COM,37963362.56,30950452.5,83966816.5,87519203.27,101862710.8,90876019.44,101000284.3,111239529.3,97918670.09,108098877.2,128229503.8,156131476.7,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Congo, Dem. Rep.",COD,..,2185507246,5000335250,8865916412,10210736241,9027202464,11910414647,13226085525,10512898981,8896176893,13401989662,16080742573,15173271456,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Congo, Rep.",COG,1449116806,2585496315,6755575077,10231039444,12607608808,11458050758,10783313046,10361434656,5927629646,6009821709,8202424944,11408904526,8380302597,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cote d'Ivoire,CIV,3421191368,4370512052,12346184123,12611974309,13678275118,13107575012,12988036435,13888904529,12532872743,11796835872,12855832026,13043560451,13822834437,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Equatorial Guinea,GNQ,..,..,11171995037,13991010002,16038364889,16098338224,14849115083,14357209504,7470701273,5779218084,7181837392,7809387583,6079488182,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Eritrea,ERI,..,68310441.56,84082757.72,101385281.3,374897684.6,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Eswatini,SWZ,657911722.6,1238728119,1775447608,2062831284,1678871397,1793016565,1863608072,1939667087,1749808134,1681256771,1915236534,1907865145,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ethiopia,ETH,..,..,..,..,5331910670,5962716169,5948437727,6474164234,6047701985,5804111647,6238595145,7055599390,7608024685,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Gabon,GAB,2740347019,3498457744,6294591627,8287738444,11243840799,10465457223,10092463252,8104569006,6620833366,6175468939,7498597594,8521609542,8558569685,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Gambia, The",GMB,189941617,201981794.9,228340664.5,226367271.2,237666106.6,280761041.4,263866331.5,243620156.7,220397779.8,241652873.7,336932030.5,355036677.3,376419317.9,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ghana,GHA,993968473.1,2431828409,7609396366,9490699301,14529869986,16656634665,16118921318,15465492198,15520745572,17537473272,20801563774,23118048350,24098556292,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guinea,GIN,828657264.8,734578521.3,1512364200,2079424662,2212106789,2531048966,2217341673,2342843821,1890478301,2513773150,4585676731,5454778298,5745257344,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guinea-Bissau,GNB,24240037.93,80534492.51,155846071.8,126560086.6,281998007.5,153100589.6,190931908.3,212887452.8,288598265.8,312319795.9,374071499.7,369432111,314959863.4,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kenya,KEN,2202462462,2742778003,7416382253,8262811549,9072837988,11205421268,10978241559,11243137683,10608329726,9912812647,10448620987,11564073026,11490738308,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lesotho,LSO,..,..,779280149.2,941418364,1230967665,1035578769,905412758.5,931254344.4,1012114659,967978076.4,1095170303,1280884668,1073373559,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Liberia,LBR,..,274229800,269879600,382397400,522939000,895554700,1060553000,893908100,618531000,702000000,797846200,849000000,882016400,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Madagascar,MDG,505973443.3,885096695.5,1959519017,2183656264,2624531678,2521980869,2891230415,3541731740,3214678775,3447066178,4071827553,3973437199,3727249500,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Malawi,MWI,447286489.1,446401353.3,1239999506,1585900947,1663004623,1579668896,1968020399,2038207956,1858207010,1791105912,1838219295,2136259145,2377292852,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mali,MLI,419815561.9,664046686.7,2212791858,2441103303,2953283820,3465870809,3302796113,3240063999,3150880398,3288089975,3413334826,4186155370,4030128566,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mauritania,MRT,545201152.4,454082460.8,1759936232,2574614055,3394684254,3247124766,3290004094,2464897184,2085732182,2043105145,2642322914,2768154030,3177550926,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Mauritius,MUS,1723618259,2849014842,4352373920,5125648056,6040723194,6276838602,5872859218,6253984116,5596191313,5412907020,5628831776,5782657127,5555160895,..
