Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Ethiopia,ETH,12108119661.8358,8182263337.46518,32395738209.0412,29825574928.2445,31883271774.1935,43214529006.0852,47541429851.2713,55459432981.0434,64326834729.9906,74053937524.5784,81285191646.1807,83892033920.3775,95640552203.2353,..
GNI (current US$),NY.GNP.MKTP.CD,Gabon,GAB,5336349261.01181,4289132938.83518,10693222145.5811,12484463860.0323,15711224400.8789,15456971600.9772,15890972051.6073,17256250321.3623,13188718851.3015,12934875312.3494,13985729747.5427,15754972352.1527,15511134184.6295,..
GNI (current US$),NY.GNP.MKTP.CD,"Gambia, The",GMB,291575060.286838,752681081.672871,1422147062.79744,1513386209.48165,1377827103.16854,1385746819.38205,1345938955.88137,1200490602.16136,1322299530.52729,1442454490.04052,1469874440.70693,1595548405.82705,1733819047.69838,..
GNI (current US$),NY.GNP.MKTP.CD,Ghana,GHA,5776765502.12656,4836061112.13066,25883819207.8365,31663124545.4545,38114303104.0379,39174956052.3864,61072600585.4446,51920119657.5295,47921089700.1023,53961581129.4695,57431697460.0621,64270236560.3123,65527306782.7153,..
GNI (current US$),NY.GNP.MKTP.CD,Guinea,GIN,2517716176.91609,2922237098.18132,6548704567.46094,6776357857.33359,6651747173.5977,7516065253.97344,7971453845.06713,8494333615.46428,8650959121.192,8501447259.7726,10285634798.7593,11521116729.0778,12819281808.6928,..
GNI (current US$),NY.GNP.MKTP.CD,Guinea-Bissau,GNB,233321979.006747,357773144.976876,816595038.441395,845414290.79081,1104814495.68002,994713353.316602,1025761370.33439,1090847649.64655,1073379758.03513,1207921291.13898,1349590591.11698,1456101700.89927,1437316650.98548,..
GNI (current US$),NY.GNP.MKTP.CD,Kenya,KEN,8206604541.74643,12575576937.4668,36976859034.0263,39852460837.1238,41961912289.9467,50187342658.6663,54496759862.9401,60579806470.9482,63195105853.1145,68178433644.2558,77456412235.0739,86329358075.292,93578038042.9454,..
GNI (current US$),NY.GNP.MKTP.CD,Lesotho,LSO,957269702.005952,1130529943.22603,2325378618.54916,2999377701.57655,3298061598.64461,3092704103.75061,2879292594.2047,2893206630.60805,2666618409.43563,2442948001.16905,2722697145.66189,2926982265.02718,2805739140.99963,..
GNI (current US$),NY.GNP.MKTP.CD,Liberia,LBR,..,772600000,1623399900,1818599900,2273155200,2459030000,2765506500,2811000000,2897000000,2996826000,2982565100,2827000000,2717591900,..
GNI (current US$),NY.GNP.MKTP.CD,Madagascar,MDG,3770426972.37285,4531580026.97015,9502808702.48928,9833984439.62774,11396920373.3611,11260410204.8564,12056235131.4337,12227495202.0068,10949102782.8011,11431773568.4483,12816628748.5358,13454482444.187,13629105694.9908,..
GNI (current US$),NY.GNP.MKTP.CD,Malawi,MWI,1837457400.41775,1707156805.57841,6132244799.59537,6851157459.09771,7888424222.52109,5892688581.96912,5356898814.32123,5887200679.08414,6153437697.03868,5409917742.42399,6149831219.46842,6752507379.47563,7485079314.60928,..
GNI (current US$),NY.GNP.MKTP.CD,Mali,MLI,2666059799.8713,2924051198.47388,9725409574.35656,10269427724.4099,12532754822.4934,11981704342.4867,12810022517.5137,13980057195.8036,12809062690.0763,13645465722.8194,14874787152.3783,16716066629.3996,17055251867.0103,..
GNI (current US$),NY.GNP.MKTP.CD,Mauritania,MRT,1447895783.35209,1793302022.02966,4777200411.03687,5559975526.83277,6609321843.49633,6537356580.81046,7029814844.25406,6340605473.61467,5986763077.81392,6282354756.77624,6661727465.74883,7010709749.84234,7502805384.45605,..
GNI (current US$),NY.GNP.MKTP.CD,Mauritius,MUS,2630672452.65247,4646665747.28758,9181337179.83216,9912845467.18468,11299763115.7249,12083527454.2429,13061912486.0756,13796111241.7379,12684108886.4611,13229765431.7861,14572668163.1256,15576435711.2547,15640351248.1148,..
GNI (current US$),NY.GNP.MKTP.CD,Mozambique,MOZ,..,5360994128.92718,11622851822.2419,10746701973.7869,14191564546.0926,16275337990.3429,16915730870.5459,17514171535.4658,15654142407.3032,11678321882.7015,12825377149.7052,14421681032.3535,14573198611.2551,..
GNI (current US$),NY.GNP.MKTP.CD,Namibia,NAM,2841879990.72392,3941875731.28909,8708821364.92913,10835913878.0132,12010789205.4795,12519782799.1896,11979900195.8954,12284589132.0588,11254032479.6808,10454878256.5539,12508089026.6817,13040377568.215,12018621141.4413,..
GNI (current US$),NY.GNP.MKTP.CD,Niger,NER,3536335227.74751,2221756352.42353,7244147179.61957,7748255934.60421,8649954254.27887,9231088331.35124,9972064802.07218,10663377622.498,9514534694.39884,10121505422.2375,10984510326.3343,12633927242.4285,12734879335.8057,..
GNI (current US$),NY.GNP.MKTP.CD,Nigeria,NGA,51148259884.4866,63300677661.0588,277317351852.262,343845536572.676,387549946800.891,437290826491.403,489445272540.035,549528095267.438,481570742572.632,395950644516.987,364252940636.404,379791930165.884,433449464744,..
GNI (current US$),NY.GNP.MKTP.CD,Rwanda,RWA,2538245657.02277,1719583100.88731,5657340827.50919,6105004896.8422,6854843317.53862,7591924467.57267,7715801470.99759,8100305384.50832,8381920585.62531,8523018374.68712,8944450023.18015,9315415673.70221,9797950633.40339,..
GNI (current US$),NY.GNP.MKTP.CD,Sao Tome and Principe,STP,..,..,187536255.668322,198044441.200956,234014884.042921,247866737.639236,305513197.831978,354638543.516874,317236670.801155,348498115.030543,373932767.891229,424765084.887884,424834962.325278,..
GNI (current US$),NY.GNP.MKTP.CD,Senegal,SEN,7040304193.90542,5833646797.65324,16078470528.0522,16080764987.996,17620360630.4613,17523080083.4306,18642733257.5285,19419518455.7271,17383163425.2164,18541836256.6942,20409362881.7165,22635049460.209,22962881781.8747,..
GNI (current US$),NY.GNP.MKTP.CD,Seychelles,SYC,355431055.481647,583245913.402639,792026522.394125,917765248.231608,947918138.827389,1000312417.76581,1258976236.93421,1260705661.442,1294187893.05949,1317488326.00773,1411550057.79474,1511273272.74135,1644781862.70517,..
GNI (current US$),NY.GNP.MKTP.CD,Sierra Leone,SLE,579840579.961825,616098892.213565,2664969380.00089,2606465306.93455,2901403971.42245,3924034071.22903,4893437931.72398,4896148548.81612,4162054005.53585,3276983580.95652,3629620900.30429,3798493994.47027,3668435544.63639,..
GNI (current US$),NY.GNP.MKTP.CD,Somalia,SOM,834948071.95093,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,South Africa,ZAF,111285000410.657,133187732549.58,289309038554.587,367345427102.114,405768835686.053,385572905881.923,357214254626.847,341540887462.654,309749111813.469,288167015664.092,339070750925.794,356648758113.632,341523075219.401,..
GNI (current US$),NY.GNP.MKTP.CD,South Sudan,SSD,..,..,..,..,8550148979.59184,11486155559.322,17413371593.2203,11954212847.4576,10522800760.2242,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Sudan,SDN,11408647540.9836,11682412725.5756,45862084823.9811,57572862375.0961,54110836861.1747,50742248710.1669,54930290569.2152,63993770558.8932,73131451053.3627,50905732137.2501,43727817863.2913,24192654488.3045,18285707015.6843,..
GNI (current US$),NY.GNP.MKTP.CD,Tanzania,TZA,4072293167.24078,13245876112.635,28783642242.0965,31436649841.4438,34011365280.5956,39076489000.6223,44974791751.4368,49140049385.3252,46478404057.9675,48664287045.7575,52106608384.1336,56210529470.5679,61577915479.7476,..
GNI (current US$),NY.GNP.MKTP.CD,Togo,TGO,1597942475.4871,1459201759.1035,3346670582.77633,3405968905.66443,4106265216.27863,3879283635.90852,4346910989.80441,4621145737.3896,4321508266.66658,4530584489.92045,4824944320.37722,5375788667.31539,5480673372.23571,..
GNI (current US$),NY.GNP.MKTP.CD,Uganda,UGA,4227398877.45914,6085591049.05111,24627716112.1954,26129414049.7032,27334974339.7587,26625063166.6932,28163624618.8225,31741318753.7812,31635822403.317,28455385086.7147,30032761102.0888,31846380321.7522,33471286439.2026,..
GNI (current US$),NY.GNP.MKTP.CD,Zambia,ZMB,3005240579.71015,3444564099.26707,14909632547.9083,18902559483.8548,22302537247.7215,25071084452.0428,26896666932.3005,26598689994.7991,20831343299.6617,20307658970.5797,24723431482.7459,26598250246.2206,22766675291.3247,..
GNI (current US$),NY.GNP.MKTP.CD,Zimbabwe,ZWE,8511816600,6328908700,8400638000,10614338700,12101614600,14901273600,17213424500,17643284500,17980769300,18772952300,20079596800,22706648400,19835846600,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Angola,AGO,8.14225193354984,20.9294376480718,9.67457289595911,5.73317578478059,5.79379614998649,8.37197506847843,9.63601614966096,14.0721810660482,22.6918954750801,34.8839464069877,29.1111071008428,20.5882078779231,26.7874372431497,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Benin,BEN,9.8645368917304,13.6111692224115,3.19010979107683,2.56435339265258,2.84035375119619,2.98684395317564,3.18119856206766,2.49504023918935,2.75957355416551,2.98886378557894,3.03114425514082,5.85223387369348,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Botswana,BWA,4.34867811288354,2.03367894471784,1.04367175372577,1.41240605142072,1.05501808033584,0.790380201372042,2.14707773362741,0.66424359974335,3.32939797192013,1.99889622519892,2.46607220511935,2.43573952876236,3.17329627634523,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Burkina Faso,BFA,9.35243711459737,18.9513871070852,3.83178230298739,2.49080017167324,2.32861233803954,2.11546207020371,2.42672159844001,2.7745112733451,3.89722760183301,3.54624835305341,3.46406558473864,3.03013153284034,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Burundi,BDI,43.4141946631594,40.8569047892913,16.5941477300088,2.40563702301048,4.20705572765574,8.91254534443818,13.7587539898513,13.8641281053951,13.9184942516758,16.0191368282633,12.3430789801158,9.71018170586999,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cabo Verde,CPV,9.07829513504885,11.0784796322344,5.62593375520214,5.44163754809739,4.74452231715688,4.53406522726793,4.5762142446876,4.77824364903538,6.22653397691234,5.90718968888539,6.14104160448345,5.61087518348539,5.91187392638148,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cameroon,CMR,20.5241414113468,20.7309298628372,7.35924773979527,3.55976575797028,4.31805342666291,3.1267754734045,3.34544911986735,6.05474685897645,7.35707247061288,14.3759169802116,10.6894898947636,14.1133219766383,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Central African Republic,CAF,13.2128917242439,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Chad,TCD,4.31126419695822,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Comoros,COM,2.90797353420068,..,14.6104456844715,4.73668498079385,3.80520271470168,13.1986815735188,0.541588419712518,0.591865638475941,7.24707079946107,5.54648763813543,2.98082051223683,3.82216841918927,3.10008683935656,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Congo, Dem. Rep.",COD,..,..,12.3743071469615,3.07812138354198,2.46050899368734,3.08370369038504,3.32654569380517,3.22302473212737,3.74273314707913,4.02297679479618,3.39294349302154,2.3297474405746,8.39229471250509,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Congo, Rep.",COG,34.5722515693917,1.70455443016061,2.84539945641575,1.56483004874017,1.18073531768035,1.64914498035562,4.58996886664867,4.82742823629455,7.44982481824417,6.46420990691189,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cote d'Ivoire,CIV,35.4378972766329,22.6612069237762,8.98404199475531,5.85982232933711,5.26743616922703,5.40938581689441,7.98415287494148,7.15812530988955,6.35864533484013,12.9730963153988,17.0966109352554,12.3486985758562,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Eritrea,ERI,..,4.28643361718748,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Eswatini,SWZ,5.39355091079787,2.23355814165374,2.66431843071618,2.38165868970475,2.83333200594719,2.37108637345869,1.86467301135598,1.67757514397064,1.71489233329165,2.23051756466802,2.23468898896676,2.26054722935002,2.76626265995964,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ethiopia,ETH,38.983055504067,13.7393880021894,2.78794102875785,3.85484030213973,5.88919875915745,7.13646086305811,10.7038369461714,11.870058525757,17.4142924819853,21.0939336468228,22.4457125948167,21.5480640627721,28.9415243013271,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Gabon,GAB,6.39435821411643,9.9514274116657,6.17497488510282,4.79665515523553,3.93755856653615,4.16574492933851,12.0337476817456,6.10645847812303,8.5689884798093,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Gambia, The",GMB,22.2342290205346,..,6.84307552338014,8.6054551607378,10.6147794513604,9.44778394288528,11.1170659557104,18.304480382267,15.4763750343569,17.2921354150227,16.9305635336803,13.5894707885323,13.4118853448097,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ghana,GHA,38.7900767390388,19.0379689800063,3.34313921386329,3.36260892490227,2.40489229083446,2.98915509702207,4.29972975443195,5.18241086711299,5.99688458793659,8.71070385442997,9.54612517985265,11.5047012234786,7.29087884348701,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guinea,GIN,20.1059103022811,22.2747195819479,12.5959746969313,6.83440683865552,13.1163288175083,8.39897131041125,4.59175648151397,3.9964106042432,5.79941492032782,3.32407188663273,2.0584639347859,2.5643522768644,2.51772935983196,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guinea-Bissau,GNB,32.2824509578544,..,7.11481322933555,12.1684435682543,2.30385850860376,4.66729552259561,1.00758865328815,2.24117743369772,1.90573804919962,3.51972800437857,2.83333512101027,3.28996469580249,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Kenya,KEN,35.4124283630656,21.0196812552366,5.14020030177125,4.40375085101015,4.31467498937321,4.80301680572651,4.90513759235724,11.529576009896,8.46629075877001,11.2029934120167,14.6431548247366,23.5520357843266,38.1982721840226,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Lesotho,LSO,4.19570344377287,7.49756029312195,2.59596002350365,2.09216952745051,2.09085359667524,2.44042763656672,2.93882139882607,3.0870269245678,3.71842591277824,3.93824345620034,3.33741809484507,3.81235137595379,4.98648309718628,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Liberia,LBR,..,..,5.81178084488622,1.70997861340934,0.746069405439398,1.17284409501421,0.937120230886139,2.39825869845501,8.71763148326974,3.04265906817061,3.35252148704175,6.33506829668933,7.09272561472921,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Madagascar,MDG,45.878793620508,13.9386856755163,2.56046715411428,2.85553095999876,1.83495713293084,2.52846633019117,2.28880307413215,2.8207851520656,4.48568476049016,3.65819941320262,3.21044922025217,2.72041492239232,2.52015413300957,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Malawi,MWI,29.3175318394978,13.5048260744146,2.86003642012009,1.70845307699601,1.41616115703924,2.05547002120594,3.15321422526411,4.11377578842575,5.53041616500547,6.37693829577603,6.71493980241493,7.47211055438174,8.69673928059097,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mali,MLI,15.3335924526168,14.1239108729683,3.09965620254193,2.45462658223236,2.3913691268748,1.75867359788295,3.11549937508672,2.98604397119201,3.27846441023456,3.53800219213647,4.09329440124102,4.82702053283641,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mauritania,MRT,30.7076279091984,..,4.77272154174284,4.94135855086289,4.03771782295502,5.18582651227548,5.78566288374072,10.869712261055,14.1528684739522,15.0234089816701,15.7224162833562,17.4077668621601,14.071200797613,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Mozambique,MOZ,26.1902046697798,14.5635752569273,17.5193696785603,24.7440811913602,18.319744277498,9.98503958429564,10.7257073239845,15.9981521549821,15.1154160491232,14.0589935665006,9.3927278382322,10.4033052072797,16.4188879280461,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Niger,NER,17.8421083404981,7.94091028067258,3.14977613300184,1.92561004992893,2.28703265836276,2.47641647523451,4.07938826845724,6.18438102314158,6.19457706696881,8.31345419021374,8.53881248933395,7.84510732494711,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Nigeria,NGA,22.5963462803015,8.75611560483597,1.27623998409283,1.50171997878808,0.508212745983586,1.34419865219481,0.494174879836166,5.27309808734387,3.20610637750392,6.27828031568706,6.73266389459281,7.88285759011963,7.09381362850324,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Rwanda,RWA,14.2576890466467,25.729309574642,6.5590441731775,7.41760130509146,4.84870548145919,7.63066020777457,8.42665128093235,12.755478155614,12.4628470370722,14.4467849393636,12.0641894137372,12.5883584837502,7.36747320731869,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Sao Tome and Principe,STP,34.8538697788698,25.8490373559459,9.88397093907941,6.30050888456675,5.3372925990905,33.4365986054436,10.9581709672679,13.8654887348914,2.85673924207096,2.55436559298371,4.05794957432791,4.72743808968521,11.5989683651231,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Senegal,SEN,21.0909114500313,16.1785721623707,5.98362219392399,8.90660958799001,8.89936229485864,7.67849576006018,8.88822820678607,7.82939832006611,8.76987564753962,9.04878979848088,13.3851871199838,14.3277612837527,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Sierra Leone,SLE,10.1174994352054,76.3529076146717,2.09323552121569,2.7229386078769,3.4084154933902,1.66808625469337,1.54806141473201,2.32656305602389,6.57343466391607,3.97585304302815,7.57229060669672,7.65668751366486,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,0.00494637773722628,0.00327061320754717,0.00535729148753224,0.0542342990654206,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,South Africa,ZAF,..,10.1818865876371,6.03629720988844,5.62216072697793,4.87454506221729,8.36556106902147,10.996913026563,7.20456374914335,20.7575755612245,14.637706399312,13.4498955358848,24.7375759796931,14.8267493880895,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Sudan,SDN,9.71088615565115,13.4728526404525,5.72689235721773,4.21004682024409,4.87186411161,7.12909323859279,4.90855748456764,4.3104180733734,10.6504926163315,6.33691525263901,4.01719960592335,4.19894498062309,4.92219880200337,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Tanzania,TZA,32.893781896274,11.9326850217368,3.08636143079185,2.92805442657501,1.88255071819392,1.82188684904938,2.75972347100217,3.07278241725779,3.99490831104325,7.95315473295184,8.36421020748868,12.6519605066351,14.7067754242815,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Togo,TGO,12.3117606431149,6.60794418660449,4.23872612722297,2.60905398854427,0.729282183937539,1.16090192396061,2.29187616901496,2.87753905377433,3.29609467977184,4.89608810634122,5.02191935011559,6.84338221816433,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Uganda,UGA,81.360138920135,10.5634960765149,2.11358841270183,1.79956926979851,1.47435270011901,1.35791346743914,1.78095890128525,4.18326017215773,1.99111101345248,17.3740791645191,3.65499571924762,9.31423343357535,4.85293675103658,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Zambia,ZMB,14.7332701960496,21.2430567553317,3.47350040693921,1.85813796358428,2.33438902174251,2.19090318681531,2.7503190484489,3.59749731802845,6.62647095940544,9.90311771028686,9.15576165427663,14.4711819872026,31.2662658527573,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Zimbabwe,ZWE,23.2479900952209,..,6.08267686530942,10.596502576481,22.6651772733123,15.9667169191945,13.3393857445445,12.0732142109519,15.8749983548543,28.926041192327,14.4667558295191,12.5378733478502,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Angola,AGO,..,8187952996.90344,41310593206.4512,51572818660.8665,67822745138.1171,71632934595.8855,69376269461.8533,65126113465.185,34572954933.6294,28440561886.9778,35420915616.9387,41388899132.5883,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Benin,BEN,375946872.309605,723503459.033678,1932930439.95559,2199999216.44206,2229520361.4398,2662421230.52835,3451240834.16954,4175439095.28021,2815204773.51852,3263416680.50386,3455561315.16264,3889961780.11204,4264042971.65289,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Botswana,BWA,2086912120.39774,3000196009.25164,3573059775.54472,5579516015.07301,7668392266.97084,7102151172.71069,9167947445.49882,9501309031.76212,7183700266.56136,8223892782.44597,6904816668.92166,7528333333.33333,6160144664.78863,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burkina Faso,BFA,340110196.070221,261515857.363254,1297930094.52627,2074074146.56959,3164494170.16836,3340989789.37289,3640311463.70639,3755133897.1596,3089098202.89416,3325889003.58012,3729527654.46433,4511341002.23874,4366363960.73806,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burundi,BDI,89130244.3724271,55005758.5302566,117576040.954033,197117152.22357,196752242.712616,226330906.445008,223097905.279872,205732033.513962,177973982.159024,196892749.282965,236167733.241568,285503118.549762,275062068.739445,..
